itemId,postalCode,location
262485149417,604**,"Wilmington,IL,USA"
133439437066,088**,"Dayton,NJ,USA"
293280345070,088**,"Dayton,NJ,USA"
303030831353,S4N2G4,Canada
283879361520,339**,"Fort Myers,FL,USA"
283418132523,925**,"Riverside,CA,USA"
283744995910,863**,"Prescott,AZ,USA"
233403865147,,Japan
233403865169,,Japan
233403865189,,Japan
233403865230,,Japan
233403865235,,Japan
233403865298,,Japan
233403865361,,Japan
233403865415,,Japan
233403865445,,Japan
264765010321,933**,"Bakersfield,CA,USA"
254651672964,970**,"Hood River,OR,USA"
143652526001,070**,"Verona,NJ,USA"
124252728284,600**,"Crystal Lake,IL,USA"
362782122527,526**,"New London,IA,USA"
293332852482,366**,"Mobile,AL,USA"
283941956714,926**,"San Clemente,CA,USA"
254513609809,937**,"Fresno,CA,USA"
303597257997,623**,"Quincy,IL,USA"
273808182516,070**,"Boonton,NJ,USA"
292086933780,838**,"Sandpoint,ID,USA"
113970200370,722**,"Little Rock,AR,USA"
293425851591,210**,"Linthicum Heights,MD,USA"
353006397677,344**,"Ocala,FL,USA"
222582896623,277**,"Durham,NC,USA"
264534531374,919**,"Chula Vista,CA,USA"
222582900659,277**,"Durham,NC,USA"
184357593991,574**,"Aberdeen,SD,USA"
373108491716,487**,"Bay City,MI,USA"
254027326740,080**,"Voorhees,NJ,USA"
254513683176,060**,"Enfield,CT,USA"
153934118583,442**,"Cuyahoga Falls,OH,USA"
231623566906,604**,"Coal City,IL,USA"
323779095788,436**,"Oregon,OH,USA"
392866668155,301**,"Acworth,GA,USA"
293641302907,623**,"Quincy,IL,USA"
224072811517,672**,"Wichita,KS,USA"
293548188967,070**,"Woodbridge,NJ,USA"
303541567438,070**,"Woodbridge,NJ,USA"
293548188996,070**,"Woodbridge,NJ,USA"
293548189040,070**,"Woodbridge,NJ,USA"
303541567595,070**,"Woodbridge,NJ,USA"
293548189143,070**,"Woodbridge,NJ,USA"
293641310956,623**,"Quincy,IL,USA"
153934144510,,USA
363043198768,773**,"Willis,TX,USA"
193519748195,600**,"Des Plaines,IL,USA"
174284431119,658**,"Springfield,MO,USA"
392866715814,474**,"Bloomington,IN,USA"
173219101173,,China
173219101174,,China
183129314611,,China
173219101183,,China
173219101184,,China
183129314622,,China
183129314636,,China
183129314641,,China
183129314667,,China
173219101227,,China
183129314674,,China
183129314675,,China
113719662299,,China
113719665676,,China
302959942718,,China
333331041949,376**,"Kingsport,TN,USA"
203043362768,705**,"Ville Platte,LA,USA"
293641428275,623**,"Quincy,IL,USA"
192890783635,750**,"Lewisville,TX,USA"
303225630544,986**,"Longview,WA,USA"
324199629751,,Japan
324199629761,,Japan
324199629787,,Japan
164281730095,300**,"Marietta,GA,USA"
324199630685,,Japan
172376362603,,China
293581454243,151**,"McKees Rocks,PA,USA"
280549392934,,Brazil
163907092561,145**,"Ontario,NY,USA"
174097505128,*******,Japan
383373200886,633**,"Moscow Mills,MO,USA"
133439649771,,Norway
232929561549,551**,"Saint Paul,MN,USA"
